date,fold,split,account_value,account_value_std,seed_count
2012-01-03,fold1,val,10000.0,0.0,5
2012-01-04,fold1,val,10005.670349121094,0.0,5
2012-01-05,fold1,val,10032.310062184051,0.0,5
2012-01-06,fold1,val,10006.454045912798,0.0,5
2012-01-09,fold1,val,10030.743864171644,0.0,5
2012-01-10,fold1,val,10117.715676700367,0.0,5
2012-01-11,fold1,val,10123.199760885802,0.0,5
2012-01-12,fold1,val,10147.488981359147,0.0,5
2012-01-13,fold1,val,10094.992654239431,0.0,5
2012-01-17,fold1,val,10134.169124827667,0.0,5
2012-01-18,fold1,val,10246.214452406944,0.0,5
2012-01-19,fold1,val,10300.278173110066,0.0,5
2012-01-20,fold1,val,10338.670349121094,0.0,5
2012-01-23,fold1,val,10312.030636058134,0.0,5
2012-01-24,fold1,val,10300.278173110064,0.0,5
2012-01-25,fold1,val,10386.46569106158,0.0,5
2012-01-26,fold1,val,10333.18626493566,0.0,5
2012-01-27,fold1,val,10328.485279756433,0.0,5
2012-01-30,fold1,val,10293.225499770218,0.0,5
2012-01-31,fold1,val,10289.308809168197,0.0,5
2012-02-01,fold1,val,10379.414213292735,0.0,5
2012-02-02,fold1,val,10395.867661420036,0.0,5
2012-02-03,fold1,val,10541.604179831113,0.0,5
2012-02-06,fold1,val,10534.55270206227,0.0,5
2012-02-07,fold1,val,10561.19241512523,0.0,5
2012-02-08,fold1,val,10592.53430893842,0.0,5
2012-02-09,fold1,val,10605.854165469898,0.0,5
2012-02-10,fold1,val,10527.501224293428,0.0,5
2012-02-13,fold1,val,10605.8541654699,0.0,5
2012-02-14,fold1,val,10592.53430893842,0.0,5
2012-02-15,fold1,val,10543.171573414524,0.0,5
2012-02-16,fold1,val,10659.917886173029,0.0,5
2012-02-17,fold1,val,10688.124992819396,0.0,5
2012-02-21,fold1,val,10692.825977998624,0.0,5
2012-02-22,fold1,val,10658.350492589616,0.0,5
2012-02-23,fold1,val,10705.3627355239,0.0,5
2012-02-24,fold1,val,10728.867661420038,0.0,5
2012-02-27,fold1,val,10746.889698701749,0.0,5
2012-02-28,fold1,val,10778.230396943933,0.0,5
2012-02-29,fold1,val,10735.92033475988,0.0,5
2012-03-01,fold1,val,10791.550253475412,0.0,5
2012-03-02,fold1,val,10758.642161649816,0.0,5
2012-03-05,fold1,val,10714.764705882351,0.0,5
2012-03-06,fold1,val,10558.058823529413,0.0,5
2012-03-07,fold1,val,10631.710779526657,0.0,5
2012-03-08,fold1,val,10737.486532772293,0.0,5
2012-03-09,fold1,val,10779.014691521144,0.0,5
2012-03-12,fold1,val,10779.797790527347,0.0,5
2012-03-13,fold1,val,10974.112749885117,0.0,5
2012-03-14,fold1,val,10962.360286937044,0.0,5
2012-03-15,fold1,val,11025.825977998626,0.0,5
2012-03-16,fold1,val,10992.917886173029,0.0,5
2012-03-19,fold1,val,11036.012242934286,0.0,5
2012-03-20,fold1,val,11003.887250114893,0.0,5
2012-03-21,fold1,val,10985.866408404185,0.0,5
2012-03-22,fold1,val,10906.729172650508,0.0,5
2012-03-23,fold1,val,10941.98775706572,0.0,5
2012-03-26,fold1,val,11095.56004782284,0.0,5
2012-03-27,fold1,val,11061.084562413833,0.0,5
2012-03-28,fold1,val,11006.237742704505,0.0,5
2012-03-29,fold1,val,10987.432606416589,0.0,5
2012-03-30,fold1,val,11032.877455767462,0.0,5
2012-04-02,fold1,val,11113.580889533549,0.0,5
2012-04-03,fold1,val,11068.136040182671,0.0,5
2012-04-04,fold1,val,10958.442400764015,0.0,5
2012-04-05,fold1,val,10952.95712100758,0.0,5
2012-04-09,fold1,val,10829.943625057444,0.0,5
2012-04-10,fold1,val,10648.16422765395,0.0,5
2012-04-11,fold1,val,10734.352941176468,0.0,5
2012-04-12,fold1,val,10874.60417983111,0.0,5
2012-04-13,fold1,val,10745.322305118336,0.0,5
2012-04-16,fold1,val,10738.270827349494,0.0,5
2012-04-17,fold1,val,10897.32720229205,0.0,5
2012-04-18,fold1,val,10860.50122429343,0.0,5
2012-04-19,fold1,val,10790.767154469211,0.0,5
2012-04-20,fold1,val,10808.78799617992,0.0,5
2012-04-23,fold1,val,10717.898297478172,0.0,5
2012-04-24,fold1,val,10758.64216164982,0.0,5
2012-04-25,fold1,val,10905.946073644303,0.0,5
2012-04-26,fold1,val,10981.94852223116,0.0,5
2012-04-27,fold1,val,10999.969363941873,0.0,5
2012-04-30,fold1,val,10959.225499770226,0.0,5
2012-05-01,fold1,val,11027.393371582037,0.0,5
2012-05-02,fold1,val,10994.48527975644,0.0,5
2012-05-03,fold1,val,10910.647058823535,0.0,5
2012-05-04,fold1,val,10734.352941176476,0.0,5
2012-05-07,fold1,val,10742.188713522524,0.0,5
2012-05-08,fold1,val,10699.094356761265,0.0,5
2012-05-09,fold1,val,10635.628665699684,0.0,5
2012-05-10,fold1,val,10657.567393583417,0.0,5
2012-05-11,fold1,val,10625.44240076402,0.0,5
2012-05-14,fold1,val,10507.912988999316,0.0,5
2012-05-15,fold1,val,10447.580889533552,0.0,5
2012-05-16,fold1,val,10407.621319939111,0.0,5
2012-05-17,fold1,val,10253.265930175785,0.0,5
2012-05-18,fold1,val,10165.511018640858,0.0,5
2012-05-21,fold1,val,10340.237742704508,0.0,5
2012-05-22,fold1,val,10358.258584415216,0.0,5
2012-05-23,fold1,val,10363.74386417165,0.0,5
2012-05-24,fold1,val,10384.11519847197,0.0,5
2012-05-25,fold1,val,10350.42400764017,0.0,5
2012-05-29,fold1,val,10475.78799617992,0.0,5
2012-05-30,fold1,val,10323.783099006208,0.0,5
2012-05-31,fold1,val,10301.061272116272,0.0,5
2012-06-01,fold1,val,10041.713228113516,0.0,5
2012-06-04,fold1,val,10037.012242934286,0.0,5
2012-06-05,fold1,val,10113.014691521144,0.0,5
2012-06-06,fold1,val,10340.237742704508,0.0,5
2012-06-07,fold1,val,10346.506121467146,0.0,5
2012-06-08,fold1,val,10428.77694881664,0.0,5
2012-06-11,fold1,val,10296.360286937044,0.0,5
2012-06-12,fold1,val,10414.672797707954,0.0,5
2012-06-13,fold1,val,10348.073515050552,0.0,5
2012-06-14,fold1,val,10457.767154469211,0.0,5
2012-06-15,fold1,val,10510.263481588923,0.0,5
2012-06-18,fold1,val,10530.634815889249,0.0,5
2012-06-19,fold1,val,10632.49387853286,0.0,5
2012-06-20,fold1,val,10615.256135828356,0.0,5
2012-06-21,fold1,val,10377.063720703129,0.0,5
2012-06-22,fold1,val,10456.984055463008,0.0,5
2012-06-25,fold1,val,10289.3088091682,0.0,5
2012-06-26,fold1,val,10341.020841710708,0.0,5
2012-06-27,fold1,val,10434.261033002069,0.0,5
2012-06-28,fold1,val,10404.48653277229,0.0,5
2012-06-29,fold1,val,10663.835772346049,0.0,5
2012-07-02,fold1,val,10695.95956959444,0.0,5
2012-07-03,fold1,val,10766.477933995862,0.0,5
2012-07-05,fold1,val,10717.89829747817,0.0,5
2012-07-06,fold1,val,10616.04043040556,0.0,5
2012-07-09,fold1,val,10602.72057387408,0.0,5
2012-07-10,fold1,val,10510.263481588923,0.0,5
2012-07-11,fold1,val,10511.830875172334,0.0,5
2012-07-12,fold1,val,10460.900746065026,0.0,5
2012-07-13,fold1,val,10636.41176470588,0.0,5
2012-07-16,fold1,val,10611.33824965533,0.0,5
2012-07-17,fold1,val,10684.207106646369,0.0,5
2012-07-18,fold1,val,10763.343146829044,0.0,5
2012-07-19,fold1,val,10791.550253475412,0.0,5
2012-07-20,fold1,val,10692.82597799862,0.0,5
2012-07-23,fold1,val,10584.69853659237,0.0,5
2012-07-24,fold1,val,10493.808837890623,0.0,5
2012-07-25,fold1,val,10496.16052605124,0.0,5
2012-07-26,fold1,val,10669.31985653148,0.0,5
2012-07-27,fold1,val,10865.98530847886,0.0,5
2012-07-30,fold1,val,10865.98530847886,0.0,5
2012-07-31,fold1,val,10789.984055463006,0.0,5
2012-08-01,fold1,val,10780.580889533549,0.0,5
2012-08-02,fold1,val,10706.145834530102,0.0,5
2012-08-03,fold1,val,10918.482831169576,0.0,5
2012-08-06,fold1,val,10939.6372644761,0.0,5
2012-08-07,fold1,val,10994.48527975643,0.0,5
2012-08-08,fold1,val,11007.80513628791,0.0,5
2012-08-09,fold1,val,11017.207106646369,0.0,5
2012-08-10,fold1,val,11035.227948357076,0.0,5
2012-08-13,fold1,val,11029.743864171642,0.0,5
2012-08-14,fold1,val,11031.31006218405,0.0,5
2012-08-15,fold1,val,11043.846819709326,0.0,5
2012-08-16,fold1,val,11125.33454805262,0.0,5
2012-08-17,fold1,val,11140.220602596506,0.0,5
2012-08-20,fold1,val,11141.00489717371,0.0,5
2012-08-21,fold1,val,11107.312510770907,0.0,5
2012-08-22,fold1,val,11112.014691521135,0.0,5
2012-08-23,fold1,val,11021.12499281939,0.0,5
2012-08-24,fold1,val,11087.724275476789,0.0,5
2012-08-27,fold1,val,11090.0747680664,0.0,5
2012-08-28,fold1,val,11079.105404124535,0.0,5
2012-08-29,fold1,val,11087.724275476789,0.0,5
2012-08-30,fold1,val,11007.805136287909,0.0,5
2012-08-31,fold1,val,11060.30146340762,0.0,5
2012-09-04,fold1,val,11050.11519847196,0.0,5
2012-09-05,fold1,val,11040.713228113504,0.0,5
2012-09-06,fold1,val,11264.802687701049,0.0,5
2012-09-07,fold1,val,11308.680143468511,0.0,5
2012-09-10,fold1,val,11244.430157829724,0.0,5
2012-09-11,fold1,val,11275.772051642916,0.0,5
2012-09-12,fold1,val,11313.38112864774,0.0,5
2012-09-13,fold1,val,11485.757360121775,0.0,5
2012-09-14,fold1,val,11536.687489229083,0.0,5
2012-09-17,fold1,val,11497.511018640847,0.0,5
2012-09-18,fold1,val,11488.10785271139,0.0,5
2012-09-19,fold1,val,11494.376231474029,0.0,5
2012-09-20,fold1,val,11495.160526051231,0.0,5
2012-09-21,fold1,val,11429.343146829036,0.0,5
2012-09-24,fold1,val,11412.105404124532,0.0,5
2012-09-25,fold1,val,11290.659301757803,0.0,5
2012-09-26,fold1,val,11227.192415125222,0.0,5
2012-09-27,fold1,val,11332.969363941858,0.0,5
2012-09-28,fold1,val,11280.473036822144,0.0,5
2012-10-01,fold1,val,11310.247537051924,0.0,5
2012-10-02,fold1,val,11321.999999999993,0.0,5
2012-10-03,fold1,val,11368.227948357073,0.0,5
2012-10-04,fold1,val,11449.715676700362,0.0,5
2012-10-05,fold1,val,11450.498775706566,0.0,5
2012-10-08,fold1,val,11411.32230511833,0.0,5
2012-10-09,fold1,val,11298.493878532852,0.0,5
2012-10-10,fold1,val,11226.40931611902,0.0,5
2012-10-11,fold1,val,11232.677694881657,0.0,5
2012-10-12,fold1,val,11195.851716883037,0.0,5
2012-10-15,fold1,val,11289.091908174394,0.0,5
2012-10-16,fold1,val,11403.48653277228,0.0,5
2012-10-17,fold1,val,11455.199760885793,0.0,5
2012-10-18,fold1,val,11425.426456227013,0.0,5
2012-10-19,fold1,val,11235.02818747127,0.0,5
2012-10-22,fold1,val,11236.59558105468,0.0,5
2012-10-23,fold1,val,11080.672797707944,0.0,5
2012-10-24,fold1,val,11049.332099465755,0.0,5
2012-10-25,fold1,val,11081.455896714147,0.0,5
2012-10-26,fold1,val,11075.188713522512,0.0,5
2012-10-31,fold1,val,11075.188713522512,0.0,5
2012-11-01,fold1,val,11191.150731703809,0.0,5
2012-11-02,fold1,val,11091.64216164981,0.0,5
2012-11-05,fold1,val,11114.365184110748,0.0,5
2012-11-06,fold1,val,11201.336996639471,0.0,5
2012-11-07,fold1,val,10947.473036822144,0.0,5
2012-11-08,fold1,val,10815.839473948754,0.0,5
2012-11-09,fold1,val,10825.242639878212,0.0,5
2012-11-12,fold1,val,10833.861511230463,0.0,5
2012-11-13,fold1,val,10796.25123865464,0.0,5
